symbol,name,price,exchange,exchangeShortName,type
"ZGB.TO","BMO Government Bond Index ETF","45.03","Toronto Stock Exchange","TSX","etf",
"BLV","Vanguard Long-Term Bond Fund","70.31","New York Stock Exchange Arca","AMEX","etf",
"BCSS.L","LEVERAGE SHARES PUBLIC LIMITED ","349.95","London Stock Exchange","LSE","etf",
"DXW.TO","Dynamic Active International Dividend ETF","22.96","Toronto Stock Exchange","TSX","etf",
"SMGB.L","VanEck Semiconductor UCITS ETF","34.725","London Stock Exchange","LSE","etf",
"MULC.TO","Manulife Multifactor U.S. Large Cap Index ETF","48.57","Toronto Stock Exchange","TSX","etf",
"RWSL","Direxion Russell Small Over Large Cap ETF","45.2714","New York Stock Exchange Arca","AMEX","etf",
"DBXQ.DE","Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 1C","194.005","Frankfurt Stock Exchange","XETRA","etf",
"CACG","ClearBridge All Cap Growth ESG ETF","52.4995","NASDAQ Global Market","NASDAQ","etf",
"XDEV.L","Xtrackers MSCI World Value UCITS ETF","3471","London Stock Exchange","LSE","etf",
"3195.HK","Hang Seng S&P 500 Index ETF","8.435","HKSE","HKSE","etf",
"PRAR.F","Amundi Index Solutions - Amundi Prime Euro Govies","16.834","Frankfurt Stock Exchange","XETRA","etf",
"LDEU.L","L&G Quality Equity Dividends ESG Exclusions Europe ex-UK UCITS ETF","12.27","London Stock Exchange","LSE","etf",
"JPSV","Jpmorgan Active Small Cap Value ETF","54.05","New York Stock Exchange Arca","AMEX","etf",
"ILF","iShares Latin America 40 ETF","25.64","New York Stock Exchange Arca","AMEX","etf",
"SPTO.L","Leverage Shares -1x Short Peloton ETC","757.875","London Stock Exchange","LSE","etf",
"ICLO","Invesco Aaa Clo Floating Rate Note ETF","25.69","BATS","ETF","etf",
"CEMS.DE","iShares Edge MSCI Europe Value Factor UCITS ETF","8.713","Frankfurt Stock Exchange","XETRA","etf",
"DFAC","Dimensional U.S. Core Equity 2 ETF","31.88","New York Stock Exchange Arca","AMEX","etf",
"IJK","iShares S&P Mid-Cap 400 Growth ETF","87.51","New York Stock Exchange Arca","AMEX","etf",
"BKCH.L","Global X Blockchain UCITS ETF","9.075","London Stock Exchange","LSE","etf",
"105190.KS","KIMC KINDEX200 Securities Exchange Traded Investment Trust","37070","KSE","KSC","etf",
"DTYL","iPath US Treasury 10-year Bull ETN","98.6802","BATS","ETF","etf",
"ISCF","iShares MSCI Intl Small-Cap Multifactor ETF","33.28","New York Stock Exchange Arca","AMEX","etf",
"FTC","First Trust Large Cap Growth AlphaDEX Fund","120.06","NASDAQ Global Market","NASDAQ","etf",
"H50E.L","HSBC EURO STOXX 50 UCITS ETF","4525.45","London Stock Exchange","LSE","etf",
"TWT2.L","Leverage Shares 2x Twitter ETC","22.255","London Stock Exchange","LSE","etf",
"DIGI.L","Digital Infrastructure and Connectivity UCITS ETF","9.762","London Stock Exchange","LSE","etf",
"XSEM.TO","iShares ESG Aware MSCI Emerging Markets Index ETF","19.97","Toronto Stock Exchange","TSX","etf",
"SECR","IndexIQ Active ETF Trust","25.39","New York Stock Exchange Arca","AMEX","etf",
"IS3L.DE","iShares $ Ultrashort Bond UCITS ETF","95","Frankfurt Stock Exchange","XETRA","etf",
"MFEX.L","Lyxor Core MSCI EMU (DR) UCITS ETF","55.575","London Stock Exchange","LSE","etf",
"PASS","Direxion Daily Cnsmr Discret Bear 3XShrs","37.5122","New York Stock Exchange Arca","AMEX","etf",
"SXR7.DE","iShares VII PLC -iShares Core MSCI EMU UCITS ETF EUR (Acc)","178.06","Frankfurt Stock Exchange","XETRA","etf",
"SJIM","Northern Lights Fund Trust IV - Inverse Cramer Tracker ETF","19.78","New York Stock Exchange","NYSE","etf",
"WHCA.AS","iShares MSCI World Health Care ","4.9525","Amsterdam","EURONEXT","etf",
"NPF.NZ","Smartshares NZ Property","1.054","NZSE","NZE","etf",
"IWL","iShares Russell Top 200 ETF","130.91","New York Stock Exchange Arca","AMEX","etf",
"CMXC.L","iShares VII PLC - iShares MSCI Mexico Capped UCITS ETF","149.62","London Stock Exchange","LSE","etf",
"SEMI","Columbia Seligman Semiconductor & Technology ETF","26.78","New York Stock Exchange Arca","AMEX","etf",
"WKLY","SoFi Weekly Dividend ETF","49.4115","New York Stock Exchange Arca","AMEX","etf",
"DGRC.TO","CI WisdomTree Canada Quality Dividend Growth Index ETF","38.05","Toronto Stock Exchange","TSX","etf",
"BCHP","Principal Focused Blue Chip ETF","31.31","New York Stock Exchange","NYSE","etf",
"CMCE.TO","CIBC Multifactor Canadian Equity ETF","21.78","Toronto Stock Exchange","TSX","etf",
"AUT.PA","Lyxor Index Fund - Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF","93.964","Paris","EURONEXT","etf",
"QABA","First Trust NASDAQ ABA Community Bank Index Fund","44.2","NASDAQ Global Market","NASDAQ","etf",
"ETZD.PA","BNP Paribas Easy Stoxx Europe 600 UCITS ETF EUR C/D","14.728","Paris","EURONEXT","etf",
"137930.KS","Midas KOSPI 200 Covered Call ETF - Equity","12340","KSE","KSC","etf",
