Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-01 00:00:00-05:00,360.0,380.0,358.0,366.75,3710339,0.0,0.0
2017-03-01 00:00:00-05:00,366.25,377.0,353.0,364.25,2062170,0.0,0.0
2017-04-01 00:00:00-04:00,365.75,373.0,354.25,358.0,3498094,0.0,0.0
2017-05-01 00:00:00-04:00,363.0,377.5,356.5,372.0,2061689,0.0,0.0
2017-06-01 00:00:00-04:00,371.5,391.75,356.25,370.5,5110367,0.0,0.0
2017-07-01 00:00:00-04:00,373.25,394.5,360.0,370.75,1453522,0.0,0.0
2017-08-01 00:00:00-04:00,369.25,375.5,328.5,342.25,2965775,0.0,0.0
2017-09-01 00:00:00-04:00,341.5,358.0,336.0,355.25,1711368,0.0,0.0
2017-11-01 00:00:00-04:00,345.75,352.0,335.5,341.75,4964054,0.0,0.0
2017-12-01 00:00:00-05:00,341.75,354.25,335.25,350.75,1096047,0.0,0.0
2018-01-01 00:00:00-05:00,351.25,362.25,345.5,361.5,3964235,0.0,0.0
2018-02-01 00:00:00-05:00,360.75,376.75,356.25,374.5,4723076,0.0,0.0
2018-03-01 00:00:00-05:00,374.0,390.75,369.25,387.75,2465745,0.0,0.0
2018-05-01 00:00:00-04:00,393.0,412.25,387.5,394.0,2453463,0.0,0.0
2018-06-01 00:00:00-04:00,393.75,397.0,338.75,350.25,4623660,0.0,0.0
2018-08-01 00:00:00-04:00,372.0,373.75,340.25,351.0,2682479,0.0,0.0
2018-09-01 00:00:00-04:00,351.5,366.75,336.25,356.25,1895174,0.0,0.0
2018-10-01 00:00:00-04:00,356.75,378.5,356.5,363.25,3817463,0.0,0.0
2018-11-01 00:00:00-04:00,363.25,379.0,355.25,366.5,4353517,0.0,0.0
2018-12-01 00:00:00-05:00,372.75,385.25,369.25,375.0,1032905,0.0,0.0
2019-01-01 00:00:00-05:00,375.25,384.5,371.0,376.5,3422959,0.0,0.0
2019-02-01 00:00:00-05:00,376.5,381.75,361.25,362.0,4409257,0.0,0.0
2019-03-01 00:00:00-05:00,361.75,380.75,352.5,356.5,2282531,0.0,0.0
2019-04-01 00:00:00-04:00,356.5,366.25,342.25,353.25,3984714,0.0,0.0
